architecture_version,git_commit,stage,seed,status,selected_epoch,final_epoch,checkpoint,wandb_file,train_accuracy,train_ce_loss,val_accuracy,val_ce_loss,val_balanced_accuracy,val_auroc,val_majority_accuracy,val_empirical_prior_ce,val_positive_recall,val_negative_recall,val_mean_logit_std,val_population_logit_std,val_tail_logit_std,val_oracle_abundance_auroc,val_oracle_model_auroc_gap
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,D1,44,completed,19,19,checkpoints/learnability_ladder/D1/seed_44/epoch=019-val_ce_loss=0.3614.ckpt,logs/wandb/offline-run-20260728_125428-l5bb00x2/run-l5bb00x2.wandb,0.8316413164138794,0.3691565990447998,0.8366745114326477,0.36142194271087646,0.8330777883529663,0.9131938219070435,0.5972877144813538,0.6648028492927551,0.7583380937576294,0.9078176021575928,0.695448100566864,1.7907048288634542e-08,0.0058862329460680485,1.0010465383529663,0.08785276859998703
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,D2,42,completed,18,19,checkpoints/learnability_ladder/D2/seed_42/epoch=018-val_ce_loss=0.3672.ckpt,logs/wandb/offline-run-20260728_132851-f32pb2in/run-f32pb2in.wandb,0.8390242457389832,0.3627322018146515,0.8449292182922363,0.3671995997428894,0.8420859575271606,0.9059198498725891,0.5972877144813538,0.6648028492927551,0.7837024927139282,0.9004694223403931,0.6896182298660278,7.781149179209024e-05,0.006235372740775347,0.9693426489830017,0.06342276185750961
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,D2,43,completed,15,19,checkpoints/learnability_ladder/D2/seed_43/epoch=015-val_ce_loss=0.3631.ckpt,logs/wandb/offline-run-20260728_140256-42dqxera/run-42dqxera.wandb,0.8397239446640015,0.36314237117767334,0.8413915038108826,0.36311277747154236,0.8379386067390442,0.9082046151161194,0.5972877144813538,0.6648028492927551,0.7735640406608582,0.9023131728172302,0.6696004271507263,1.8872879081754945e-06,0.007818554528057575,0.9693426489830017,0.06113789230585098
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,D2,44,completed,19,19,checkpoints/learnability_ladder/D2/seed_44/epoch=019-val_ce_loss=0.3578.ckpt,logs/wandb/offline-run-20260728_143649-8dczjknn/run-8dczjknn.wandb,0.839496374130249,0.35740530490875244,0.8325471878051758,0.35782939195632935,0.8297936916351318,0.9092164039611816,0.5972877144813538,0.6648028492927551,0.7585436701774597,0.9010436534881592,0.6463068723678589,2.629007056498267e-08,0.008849911391735077,0.9693426489830017,0.0601261667907238
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,D3,42,completed,19,19,checkpoints/learnability_ladder/D3/seed_42/epoch=019-val_ce_loss=0.2732.ckpt,logs/wandb/offline-run-20260728_151047-24hkk81s/run-24hkk81s.wandb,0.8844925761222839,0.27046483755111694,0.880306601524353,0.27321693301200867,0.8804876804351807,0.941247820854187,0.5972877144813538,0.6648028492927551,0.8317967057228088,0.9291786551475525,0.8146092295646667,0.0036178906448185444,0.010839809663593769,1.0010465383529663,0.059798676520586014
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,D3,43,completed,6,19,checkpoints/learnability_ladder/D3/seed_43/epoch=006-val_ce_loss=0.2673.ckpt,logs/wandb/offline-run-20260728_154418-vzs78jdz/run-vzs78jdz.wandb,0.8788589239120483,0.27930760383605957,0.8862028121948242,0.2673029899597168,0.8870124220848083,0.950105607509613,0.5972877144813538,0.6648028492927551,0.8423211574554443,0.9317036271095276,0.6793060302734375,0.0012902355520054698,0.008424204774200916,1.0010465383529663,0.050940901041030884
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,D3,44,completed,18,19,checkpoints/learnability_ladder/D3/seed_44/epoch=018-val_ce_loss=0.2742.ckpt,logs/wandb/offline-run-20260728_161905-k4sqo22j/run-k4sqo22j.wandb,0.883737325668335,0.27241507172584534,0.8820754885673523,0.2741732597351074,0.8842684030532837,0.9437153935432434,0.5972877144813538,0.6648028492927551,0.8435172438621521,0.925019383430481,0.7401618361473083,1.7057843137990858e-08,0.02974298596382141,1.0010465383529663,0.05733117461204529
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,D4,42,completed,19,19,checkpoints/learnability_ladder/D4/seed_42/epoch=019-val_ce_loss=0.3164.ckpt,logs/wandb/offline-run-20260728_165328-035uk6e2/run-035uk6e2.wandb,0.8607175946235657,0.31887516379356384,0.8596698045730591,0.31638652086257935,0.856787919998169,0.9251478910446167,0.5972877144813538,0.6648028492927551,0.8277279734611511,0.8858478665351868,0.7515591382980347,0.009427867829799652,0.007768318988382816,1.0010465383529663,0.07589859515428543
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,D4,43,completed,13,19,checkpoints/learnability_ladder/D4/seed_43/epoch=013-val_ce_loss=0.3027.ckpt,logs/wandb/offline-run-20260728_172804-3vzod55l/run-3vzod55l.wandb,0.8621383309364319,0.3172544538974762,0.8720518946647644,0.30267733335494995,0.8687793612480164,0.9343606233596802,0.5972877144813538,0.6648028492927551,0.8447182178497314,0.8928406238555908,0.7222291231155396,2.0341913398169709e-07,0.005671363789588213,1.0010465383529663,0.06668592989444733
18,835b7268f82974fbcf32262e06ceb6e61fd7aa94,D4,44,completed,17,19,checkpoints/learnability_ladder/D4/seed_44/epoch=017-val_ce_loss=0.3024.ckpt,logs/wandb/offline-run-20260728_180226-nooe1pgh/run-nooe1pgh.wandb,0.8614211678504944,0.31759408116340637,0.8667452931404114,0.30244946479797363,0.8614934682846069,0.9336518049240112,0.5972877144813538,0.6648028492927551,0.8286433219909668,0.8943435549736023,0.7414925694465637,1.3511431973256549e-08,0.01991828717291355,1.0010465383529663,0.06739472597837448
