architecture_version,source_commit,stage,active_nuisance,nuisance_scale,seed,evaluation_epoch,run_status,result,wandb_run_id,config,checkpoint,val_accuracy,majority_accuracy,val_ce_loss,empirical_prior_ce,balanced_accuracy,model_auroc,oracle_accuracy,oracle_balanced_accuracy,oracle_auroc,oracle_ce,oracle_snr,oracle_model_auroc_gap,oracle_same_validation_aggregation
18,1f83d7f059823ab0664a63d9e1bb0ef410caeea2,C4-D,none,0.0,42,77,manually_stopped,pass,n3vvqdfm,configs/train_learnability_c4_d.yaml,checkpoints/20260722_190229/learnability_c4_d_lr5e4/epoch=076-val_ce_loss=0.2693.ckpt,0.8886926,0.5936396,0.2697634,0.6641306,0.8884654,0.9466423,0.8881037,0.8864436,1.0,0.4712220,2.8142113,0.0533577,false
18,1f83d7f059823ab0664a63d9e1bb0ef410caeea2,D0,global_bag_shift,0.35,42,19,completed,fail,8un8ikl0,configs/train_learnability_d0.yaml,checkpoints/20260723_003417/learnability_d1_e20/epoch=012-val_ce_loss=0.6714.ckpt,0.5677267,0.5971732,0.6765460,0.6595740,0.5687691,0.6026168,0.8828033,0.8811146,1.0,0.4686911,3.1572430,0.3973832,true
18,1f83d7f059823ab0664a63d9e1bb0ef410caeea2,D1,bag_component_shift,0.12,42,19,completed,pass,lknvabxz,configs/train_learnability_d1.yaml,checkpoints/20260723_010730/learnability_d2_e20/epoch=018-val_ce_loss=0.3554.ckpt,0.8351001,0.5971732,0.3559235,0.6595739,0.8357119,0.9165273,0.8828033,0.8811146,1.0,0.4686911,3.1572430,0.0834729,true
18,1f83d7f059823ab0664a63d9e1bb0ef410caeea2,D2,response_shared_fraction_logit_noise,0.65,42,19,completed,pass,0uvxlmw8,configs/train_learnability_d2.yaml,checkpoints/20260723_014321/learnability_d3_e20/epoch=015-val_ce_loss=0.3392.ckpt,0.8409894,0.5971732,0.3534546,0.6595739,0.8401520,0.9191612,0.8415783,0.8385959,0.9678947,0.5000468,3.0481000,0.0487332,true
18,1f83d7f059823ab0664a63d9e1bb0ef410caeea2,D3,episode_common_shared_mixture_variation,0.70,42,19,completed,pass,luleqpsa,configs/train_learnability_d3.yaml,checkpoints/20260723_081618/learnability_d4_e20/epoch=016-val_ce_loss=0.2365.ckpt,0.8904594,0.5971732,0.2426541,0.6595739,0.8898393,0.9625007,0.8828033,0.8811146,1.0,0.4686911,3.1572430,0.0374993,true
18,1f83d7f059823ab0664a63d9e1bb0ef410caeea2,D4,bag_specific_shared_mixture_variation,0.70,42,3,early_stopped_after_pass_trend,pass_trend,sbuml2ru,configs/train_learnability_d4.yaml,checkpoints/20260723_090441/learnability_d5_e20/epoch=003-val_ce_loss=0.3212.ckpt,0.8592462,0.5971732,0.3211841,0.6595739,0.8573737,0.9375736,0.8828033,0.8811146,1.0,0.4686911,3.1572430,0.0624265,true
